"Bevolking met migratieachtergrond; geslacht, leeftijd, 1 januari"
"Perioden: 2021"
"";""
"";"Migratieachtergrond";"Met migratieachtergrond"
"";"Onderwerp";"1e generatie migratieachtergrond"
"Geslacht";"Leeftijd";"aantal"
"Mannen";"70 tot 75 jaar";"39973"
"Mannen";"75 tot 80 jaar";"24736"
"Mannen";"80 tot 85 jaar";"16857"
"Mannen";"85 tot 90 jaar";"5998"
"Mannen";"90 tot 95 jaar";"1659"
"Mannen";"95 jaar of ouder";"281"
"Vrouwen";"70 tot 75 jaar";"45091"
"Vrouwen";"75 tot 80 jaar";"26859"
"Vrouwen";"80 tot 85 jaar";"19111"
"Vrouwen";"85 tot 90 jaar";"9451"
"Vrouwen";"90 tot 95 jaar";"4218"
"Vrouwen";"95 jaar of ouder";"1374"
"Bron: CBS"
